plan_id,local_development_framework_number
330ea240-d27f-4214-86e2-f7b841604812,765
947c00eb-7d3e-417a-9240-05057ac08a86,776
cce851d7-7c70-41e5-87f4-767f9fc85bbe,1876
15403182-0a1c-4078-a043-413a644bc4a7,1776
f4e01c41-d817-4a06-a17e-436572c7c435,1808
f150ab0a-4484-4661-810d-f33c11212694,1129
2e3ad928-7219-42c1-aab7-899c1569af05,1883
83699784-e72d-4388-abd9-a17c4c8c54df,1810
3eea76fd-11f8-40d9-acae-916a8576db5c,1014
228cdd2a-b858-4c87-b6a7-899488ecedb1,1858
85edc099-3eee-4b89-9184-294530b10434,1078
90acde0a-70aa-4da3-a861-79f7970ff5dc,1625
47dfa4bd-d33b-45d8-8fee-e0b50ab24f39,1332
fa593a9c-6a8a-401b-b688-cb7aafdd3182,574
df77835d-91df-4acc-a426-841dd31f22fd,556
78180781-4d4a-46c6-a525-b55512385655,2095
ec74225d-d0a7-49c3-bf6b-889beb430bef,830
0f521478-8e31-4bd4-b667-7370f2e7a34d,2015
2ed5ae6b-8b7a-4a54-8d9f-89af587810fd,1043
7dd9e611-a2f6-4904-9b54-ddf987d87945,1869
bf23264b-3c0d-4ce3-9d6a-f821312cbbb1,968
9a026ec2-d842-4206-8366-5f2255ce11a6,1891
4e23eab5-e588-4b27-a3bc-5cb678926b11,623
2a7f1eb4-e1fb-4f69-a51b-8c64a480320f,919
6a2d40d5-1f4c-4d69-a634-2be64dc0bae9,1857
b1dc0df6-bbe8-4f4e-889c-1046e3b7d114,952
fb4d0cb4-4018-47cb-8afa-c8b261516f24,2032
ea1e8cf6-0017-412a-bacf-3816a3f8df5d,1688
dde7dcc5-e3c2-433e-a9bc-145fa63863bf,1607
4c19e2f5-5e6e-4b18-afb6-056c7263e7f8,2017
5c88bf51-0629-436a-9900-f0b4eaa4381c,620
6617edd1-f845-417c-9f11-cb50ba744750,812
208f8df8-5784-4ea4-8521-a2d58603b234,292
